Customer_ID,Age,Gender,Income,Employment_Type,Loan_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Application_Date,Approval_Status,EMI_Amount,Disbursal_Date,EMIs_Paid,Default_Status,Outstanding_Balance
CUST1000,59,Female,62399,Salaried,LOAN5000,Auto,885209,15.11,12,2024-01-24,Approved,84913.67,2025-02-23,11,No,84913.67
CUST1001,49,Male,64013,Self-Employed,LOAN5001,Home,1314330,17.24,24,2022-11-29,Approved,64205.02,2025-08-02,16,Yes,513640.16
CUST1002,35,Female,165778,Salaried,LOAN5002,Education,202973,17.74,12,2024-10-24,Approved,19915.03,2024-10-24,9,No,59745.09
CUST1003,63,Female,189303,Self-Employed,LOAN5003,Education,1092201,13.92,36,2025-06-26,Approved,34562.09,2025-07-15,29,No,241934.63
CUST1004,28,Female,47909,Self-Employed,LOAN5004,Education,1934974,7.13,180,2025-02-23,Approved,11516.32,2025-07-06,171,No,103646.88
CUST1005,41,Female,177541,Student,LOAN5005,Personal,1036141,15.39,180,2024-06-06,Approved,6642.24,2024-06-18,133,Yes,312185.28
CUST1006,59,Female,152385,Salaried,LOAN5006,Education,1848199,7.82,120,2022-12-07,Rejected,0.0,,0,No,0.0
CUST1007,39,Male,158919,Retired,LOAN5007,Education,1622777,14.54,24,2023-05-20,Approved,77447.03,2023-10-22,19,No,387235.15
CUST1008,43,Male,161002,Retired,LOAN5008,Business,852947,15.85,180,2025-03-20,Rejected,0.0,,0,No,0.0
CUST1009,31,Female,23285,Student,LOAN5009,Personal,1721562,15.21,12,2024-06-23,Rejected,0.0,,0,No,0.0
CUST1010,31,Male,143637,Self-Employed,LOAN5010,Education,1102149,17.92,180,2025-03-10,Approved,7220.3,2025-03-10,84,Yes,693148.8
CUST1011,44,Female,55863,Salaried,LOAN5011,Education,1466130,15.36,180,2024-03-23,Approved,9396.26,2025-07-11,48,Yes,1240306.32
CUST1012,56,Female,167776,Salaried,LOAN5012,Auto,534260,14.82,60,2024-09-09,Approved,10223.96,2024-10-21,51,No,92015.64
CUST1013,60,Male,169777,Salaried,LOAN5013,Auto,1612105,9.64,180,2023-02-26,Approved,9819.51,2024-10-18,9,Yes,1679136.21
CUST1014,44,Male,151627,Salaried,LOAN5014,Personal,534737,17.6,12,2022-12-12,Approved,52404.23,2025-06-27,2,Yes,524042.3
CUST1015,23,Male,41323,Self-Employed,LOAN5015,Business,1142491,8.65,180,2024-05-31,Approved,6896.2,2025-07-14,4,Yes,1213731.2
CUST1016,42,Male,90968,Self-Employed,LOAN5016,Personal,1021284,17.36,24,2023-10-23,Rejected,0.0,,0,No,0.0
CUST1017,22,Male,73915,Student,LOAN5017,Personal,317204,10.25,180,2023-09-20,Approved,1942.87,2024-02-18,135,No,87429.15
